Point ID,arc_length,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
187,0.003740,-0.000005,0.050000,0.003740,0.005000,0.050388,0.004224,0.000094,0.000000,0.004225,1
188,0.003760,-0.000005,0.050000,0.003760,0.005000,0.050390,0.004238,0.000094,0.000000,0.004239,1
189,0.003780,-0.000005,0.050000,0.003780,0.005000,0.050391,0.004251,0.000095,0.000000,0.004253,1
190,0.003800,-0.000005,0.050000,0.003800,0.005000,0.050393,0.004265,0.000095,0.000000,0.004266,1
191,0.003820,-0.000005,0.050000,0.003820,0.005000,0.050394,0.004279,0.000095,0.000000,0.004280,1
192,0.003840,-0.000005,0.050000,0.003840,0.005000,0.050396,0.004292,0.000096,0.000000,0.004293,1
193,0.003860,-0.000005,0.050000,0.003860,0.005000,0.050397,0.004306,0.000096,0.000000,0.004307,1
194,0.003880,-0.000005,0.050000,0.003880,0.005000,0.050399,0.004319,0.000097,0.000000,0.004320,1
195,0.003900,-0.000005,0.050000,0.003900,0.005000,0.050400,0.004333,0.000097,0.000000,0.004334,1
196,0.003920,-0.000005,0.050000,0.003920,0.005000,0.050402,0.004347,0.000098,0.000000,0.004348,1
197,0.003940,-0.000005,0.050000,0.003940,0.005000,0.050404,0.004360,0.000098,0.000000,0.004361,1
198,0.003960,-0.000005,0.050000,0.003960,0.005000,0.050405,0.004374,0.000098,0.000000,0.004375,1
199,0.003980,-0.000005,0.050000,0.003980,0.005000,0.050407,0.004387,0.000099,0.000000,0.004388,1
200,0.004000,-0.000005,0.050000,0.004000,0.005000,0.050408,0.004401,0.000099,0.000000,0.004402,1
201,0.004020,-0.000005,0.050000,0.004020,0.005000,0.050410,0.004415,0.000100,0.000000,0.004416,1
202,0.004040,-0.000005,0.050000,0.004040,0.005000,0.050412,0.004428,0.000100,0.000000,0.004429,1
203,0.004060,-0.000005,0.050000,0.004060,0.005000,0.050413,0.004442,0.000101,0.000000,0.004443,1
204,0.004080,-0.000005,0.050000,0.004080,0.005000,0.050415,0.004455,0.000101,0.000000,0.004456,1
205,0.004100,-0.000005,0.050000,0.004100,0.005000,0.050416,0.004469,0.000102,0.000000,0.004470,1
206,0.004120,-0.000005,0.050000,0.004120,0.005000,0.050418,0.004482,0.000102,0.000000,0.004484,1
207,0.004140,-0.000005,0.050000,0.004140,0.005000,0.050420,0.004496,0.000102,0.000000,0.004497,1
208,0.004160,-0.000005,0.050000,0.004160,0.005000,0.050421,0.004510,0.000103,0.000000,0.004511,1
209,0.004180,-0.000005,0.050000,0.004180,0.005000,0.050423,0.004523,0.000103,0.000000,0.004524,1
210,0.004200,-0.000005,0.050000,0.004200,0.005000,0.050425,0.004537,0.000104,0.000000,0.004538,1
211,0.004220,-0.000005,0.050000,0.004220,0.005000,0.050426,0.004550,0.000104,0.000000,0.004552,1
212,0.004240,-0.000005,0.050000,0.004240,0.005000,0.050428,0.004564,0.000105,0.000000,0.004565,1
213,0.004260,-0.000005,0.050000,0.004260,0.005000,0.050430,0.004578,0.000105,0.000000,0.004579,1
214,0.004280,-0.000005,0.050000,0.004280,0.005000,0.050431,0.004591,0.000105,0.000000,0.004592,1
215,0.004300,-0.000005,0.050000,0.004300,0.005000,0.050433,0.004605,0.000106,0.000000,0.004606,1
216,0.004320,-0.000005,0.050000,0.004320,0.005000,0.050435,0.004618,0.000106,0.000000,0.004620,1
217,0.004340,-0.000005,0.050000,0.004340,0.005000,0.050436,0.004631,0.000107,0.000000,0.004632,1
218,0.004360,-0.000005,0.050000,0.004360,0.005000,0.050438,0.004642,0.000107,0.000000,0.004643,1
219,0.004380,-0.000005,0.050000,0.004380,0.005000,0.050440,0.004653,0.000107,0.000000,0.004655,1
220,0.004400,-0.000005,0.050000,0.004400,0.005000,0.050442,0.004665,0.000107,0.000000,0.004666,1
221,0.004420,-0.000005,0.050000,0.004420,0.005000,0.050443,0.004676,0.000108,0.000000,0.004677,1
222,0.004440,-0.000005,0.050000,0.004440,0.005000,0.050445,0.004687,0.000108,0.000000,0.004688,1
223,0.004460,-0.000005,0.050000,0.004460,0.005000,0.050447,0.004698,0.000108,0.000000,0.004700,1
224,0.004480,-0.000005,0.050000,0.004480,0.005000,0.050449,0.004710,0.000108,0.000000,0.004711,1
225,0.004500,-0.000005,0.050000,0.004500,0.005000,0.050450,0.004721,0.000109,0.000000,0.004722,1
226,0.004520,-0.000005,0.050000,0.004520,0.005000,0.050452,0.004732,0.000109,0.000000,0.004733,1
227,0.004540,-0.000005,0.050000,0.004540,0.005000,0.050454,0.004743,0.000109,0.000000,0.004745,1
228,0.004560,-0.000005,0.050000,0.004560,0.005000,0.050456,0.004755,0.000109,0.000000,0.004756,1
229,0.004580,-0.000005,0.050000,0.004580,0.005000,0.050458,0.004766,0.000109,0.000000,0.004767,1
230,0.004600,-0.000005,0.050000,0.004600,0.005000,0.050459,0.004777,0.000110,0.000000,0.004778,1
